steer_gain,throttle_base,throttle_gain,brake_dist,throttle_min,mean_reward,std_reward,mean_checkpoints,collision_rate,mean_speed
1.2,0.1,0.6,0.4,0.1,-22.074087142944336,0.00020078140369150788,2.0,1.0,41.4642333984375
1.2,0.1,0.6,0.5,0.0,-23.599267959594727,0.0,2.0,1.0,35.57933807373047
1.2,0.1,0.6,0.5,0.05,-23.599273681640625,0.0,2.0,1.0,35.579376220703125
1.2,0.1,0.6,0.5,0.1,-23.112937927246094,0.0,2.0,1.0,37.148841857910156
1.2,0.1,0.8,0.3,0.0,-19.688579559326172,2.693349051696714e-05,2.0,1.0,55.678077697753906
1.2,0.1,0.8,0.3,0.05,-19.688579559326172,2.693349051696714e-05,2.0,1.0,55.678077697753906
1.2,0.1,0.8,0.3,0.1,-19.688587188720703,2.6865869585890323e-05,2.0,1.0,55.678123474121094
1.2,0.1,0.8,0.4,0.0,-20.254709243774414,5.067951133241877e-05,2.0,1.0,51.628196716308594
1.2,0.1,0.8,0.4,0.05,-20.254709243774414,5.067951133241877e-05,2.0,1.0,51.628196716308594
1.2,0.1,0.8,0.4,0.1,-20.2609806060791,0.00014858233043923974,2.0,1.0,51.69025421142578
1.2,0.1,0.8,0.5,0.0,-21.19138526916504,0.0,2.0,1.0,45.85499572753906
1.2,0.1,0.8,0.5,0.05,-21.19138526916504,0.0,2.0,1.0,45.85499572753906
1.2,0.1,0.8,0.5,0.1,-21.103233337402344,0.0,2.0,1.0,46.406707763671875
1.2,0.2,0.4,0.3,0.0,-20.831214904785156,0.00018416139937471598,2.0,1.0,47.56731414794922
1.2,0.2,0.4,0.3,0.05,-20.831214904785156,0.00018416139937471598,2.0,1.0,47.56731414794922
1.2,0.2,0.4,0.3,0.1,-20.831214904785156,0.00018416139937471598,2.0,1.0,47.56731414794922
1.2,0.2,0.4,0.4,0.0,-21.608173370361328,0.00061624008230865,2.0,1.0,43.70716094970703
1.2,0.2,0.4,0.4,0.05,-21.608173370361328,0.00061624008230865,2.0,1.0,43.70716094970703
1.2,0.2,0.4,0.4,0.1,-21.60933494567871,0.0006542595219798386,2.0,1.0,43.716896057128906
1.2,0.2,0.4,0.5,0.0,-22.741374969482422,9.073848923435435e-05,2.0,1.0,38.609474182128906
1.2,0.2,0.4,0.5,0.05,-22.741374969482422,9.073848923435435e-05,2.0,1.0,38.609474182128906
1.2,0.2,0.4,0.5,0.1,-22.640432357788086,1.8551356333773583e-05,2.0,1.0,38.933921813964844
1.2,0.2,0.6,0.3,0.0,-19.53028106689453,0.000893516989890486,2.0,1.0,57.451019287109375
1.2,0.2,0.6,0.3,0.05,-19.53028106689453,0.000893516989890486,2.0,1.0,57.451019287109375
1.2,0.2,0.6,0.3,0.1,-19.53028106689453,0.000893516989890486,2.0,1.0,57.451019287109375
1.2,0.2,0.6,0.4,0.0,-19.984760284423828,0.0003061600436922163,2.0,1.0,53.676002502441406
1.2,0.2,0.6,0.4,0.05,-19.984760284423828,0.0003061600436922163,2.0,1.0,53.676002502441406
1.2,0.2,0.6,0.4,0.1,-19.98476791381836,0.0003058366710320115,2.0,1.0,53.67606735229492
1.2,0.2,0.6,0.5,0.0,-20.83644676208496,0.00016664814029354602,2.0,1.0,48.13230514526367
1.2,0.2,0.6,0.5,0.05,-20.83644676208496,0.00016664814029354602,2.0,1.0,48.13230514526367
1.2,0.2,0.6,0.5,0.1,-20.842327117919922,0.0002613304241094738,2.0,1.0,48.186824798583984
1.2,0.2,0.8,0.3,0.0,-18.60826873779297,0.0010473598958924413,2.0,1.0,66.9993667602539
1.2,0.2,0.8,0.3,0.05,-18.60826873779297,0.0010473598958924413,2.0,1.0,66.9993667602539
1.2,0.2,0.8,0.3,0.1,-18.60826873779297,0.0010473598958924413,2.0,1.0,66.9993667602539
1.2,0.2,0.8,0.4,0.0,-18.985641479492188,0.000995455076918006,2.0,1.0,63.21284103393555
1.2,0.2,0.8,0.4,0.05,-18.985641479492188,0.000995455076918006,2.0,1.0,63.21284103393555
1.2,0.2,0.8,0.4,0.1,-18.985641479492188,0.000995455076918006,2.0,1.0,63.21284103393555
1.2,0.2,0.8,0.5,0.0,-19.505474090576172,8.853468170855194e-05,2.0,1.0,57.638084411621094
1.2,0.2,0.8,0.5,0.05,-19.505474090576172,8.853468170855194e-05,2.0,1.0,57.638084411621094
1.2,0.2,0.8,0.5,0.1,-19.506296157836914,9.866358595900238e-05,2.0,1.0,57.64686965942383
1.2,0.3,0.4,0.3,0.0,-19.332782745361328,0.00019105883256997913,2.0,1.0,58.861610412597656
1.2,0.3,0.4,0.3,0.05,-19.332782745361328,0.00019105883256997913,2.0,1.0,58.861610412597656
1.2,0.3,0.4,0.3,0.1,-19.332782745361328,0.00019105883256997913,2.0,1.0,58.861610412597656
1.2,0.3,0.4,0.4,0.0,-19.815889358520508,0.0012865631142631173,2.0,1.0,55.2298698425293
1.2,0.3,0.4,0.4,0.05,-19.815889358520508,0.0012865631142631173,2.0,1.0,55.2298698425293
1.2,0.3,0.4,0.4,0.1,-19.815889358520508,0.0012865631142631173,2.0,1.0,55.2298698425293
1.2,0.3,0.4,0.5,0.0,-20.567367553710938,0.0009729998419061303,2.0,1.0,49.946380615234375
1.2,0.3,0.4,0.5,0.05,-20.567367553710938,0.0009729998419061303,2.0,1.0,49.946380615234375
1.2,0.3,0.4,0.5,0.1,-20.567392349243164,0.0009732394828461111,2.0,1.0,49.94658279418945
1.2,0.3,0.6,0.3,0.0,-18.528833389282227,0.0018522015307098627,2.0,1.0,68.15269470214844
1.2,0.3,0.6,0.3,0.05,-18.528833389282227,0.0018522015307098627,2.0,1.0,68.15269470214844
1.2,0.3,0.6,0.3,0.1,-18.528833389282227,0.0018522015307098627,2.0,1.0,68.15269470214844
1.2,0.3,0.6,0.4,0.0,-18.76370620727539,0.00010241947165923193,2.0,1.0,64.59310913085938
1.2,0.3,0.6,0.4,0.05,-18.76370620727539,0.00010241947165923193,2.0,1.0,64.59310913085938
1.2,0.3,0.6,0.4,0.1,-18.76370620727539,0.00010241947165923193,2.0,1.0,64.59310913085938
1.2,0.3,0.6,0.5,0.0,-19.314043045043945,5.845331179443747e-05,2.0,1.0,59.126792907714844
1.2,0.3,0.6,0.5,0.05,-19.314043045043945,5.845331179443747e-05,2.0,1.0,59.126792907714844
1.2,0.3,0.6,0.5,0.1,-19.314043045043945,5.845331179443747e-05,2.0,1.0,59.126792907714844
1.2,0.3,0.8,0.3,0.0,-17.897769927978516,0.0026028682477772236,2.0,1.0,77.10787963867188
1.2,0.3,0.8,0.3,0.05,-17.897769927978516,0.0026028682477772236,2.0,1.0,77.10787963867188
1.2,0.3,0.8,0.3,0.1,-17.897769927978516,0.0026028682477772236,2.0,1.0,77.10787963867188
1.2,0.3,0.8,0.4,0.0,-18.012290954589844,0.0,2.0,1.0,73.61311340332031
1.2,0.3,0.8,0.4,0.05,-18.012290954589844,0.0,2.0,1.0,73.61311340332031
1.2,0.3,0.8,0.4,0.1,-18.012290954589844,0.0,2.0,1.0,73.61311340332031
1.2,0.3,0.8,0.5,0.0,-18.48089027404785,0.0005282219499349594,2.0,1.0,67.956298828125
1.2,0.3,0.8,0.5,0.05,-18.48089027404785,0.0005282219499349594,2.0,1.0,67.956298828125
1.2,0.3,0.8,0.5,0.1,-18.48089027404785,0.0005282219499349594,2.0,1.0,67.956298828125
1.6,0.1,0.4,0.3,0.0,-23.14096450805664,0.0,2.0,1.0,33.84017562866211
1.6,0.1,0.4,0.3,0.05,-23.14096450805664,0.0,2.0,1.0,33.84017562866211
1.6,0.1,0.4,0.3,0.1,-23.042804718017578,0.0,2.0,1.0,34.13153076171875
1.6,0.1,0.4,0.4,0.0,-24.812484741210938,0.00020469503942877054,2.0,1.0,29.498199462890625
1.6,0.1,0.4,0.4,0.05,-24.697673797607422,0.0,2.0,1.0,29.627513885498047
1.6,0.1,0.4,0.4,0.1,-24.129281997680664,0.0004366695648059249,2.0,1.0,31.16583824157715
1.6,0.1,0.4,0.5,0.0,-28.261449813842773,0.0,1.0,1.0,24.623552322387695
