steer_gain,throttle_base,throttle_gain,brake_dist,throttle_min,mean_reward,std_reward,mean_checkpoints,collision_rate,mean_speed
1.6,0.1,0.8,0.3,0.05,-5.803385257720947,2.643845982674975e-05,3.0,1.0,56.568031311035156
1.6,0.1,0.8,0.3,0.1,-5.7702813148498535,0.0,3.0,1.0,56.961387634277344
1.6,0.1,0.8,0.4,0.0,-6.143798828125,0.0,3.0,1.0,49.15865707397461
1.6,0.1,0.8,0.4,0.05,-6.143884181976318,0.0,3.0,1.0,49.159095764160156
1.6,0.1,0.8,0.4,0.1,-6.042993068695068,0.0,3.0,1.0,50.9772834777832
1.6,0.1,0.8,0.5,0.0,-6.7303056716918945,0.0,3.0,1.0,40.36760330200195
1.6,0.1,0.8,0.5,0.05,-6.711033821105957,0.0,3.0,1.0,40.60966873168945
1.6,0.1,0.8,0.5,0.1,-6.397412300109863,1.373589020658983e-05,3.0,1.0,44.8915901184082
1.6,0.2,0.4,0.3,0.0,-6.150461196899414,0.00016952054284047335,3.0,1.0,48.951622009277344
1.6,0.2,0.4,0.3,0.05,-6.150461196899414,0.00016952054284047335,3.0,1.0,48.951622009277344
1.6,0.2,0.4,0.3,0.1,-6.152352809906006,0.00018864343292079866,3.0,1.0,48.96178436279297
1.6,0.2,0.4,0.4,0.0,-6.514721870422363,8.20159912109375e-05,3.0,1.0,42.99686813354492
1.6,0.2,0.4,0.4,0.05,-6.514721870422363,8.20159912109375e-05,3.0,1.0,42.99686813354492
1.6,0.2,0.4,0.4,0.1,-6.477614402770996,0.00011015000200131908,3.0,1.0,43.5589714050293
1.6,0.2,0.4,0.5,0.0,-7.020333766937256,0.0,3.0,1.0,36.567527770996094
1.6,0.2,0.4,0.5,0.05,-7.020333766937256,0.0,3.0,1.0,36.567527770996094
1.6,0.2,0.4,0.5,0.1,-6.848071098327637,0.0,3.0,1.0,38.46091842651367
1.6,0.2,0.6,0.3,0.0,-5.666530609130859,8.624084875918925e-05,3.0,1.0,60.0301399230957
1.6,0.2,0.6,0.3,0.05,-5.666530609130859,8.624084875918925e-05,3.0,1.0,60.0301399230957
